sector,implementing_agency,project_name,original_cost_cr,physical_progress_pct,latest_revised_cost_cr,latest_revised_completion_date
Education,INDIAN INSTITUTE OF TECHNOLOGY PALAKKAD,Phase B of Construction of Permanent Campus of IIT Palakkad,1527,0,1527,31/10/2028
Waste & Water,National Mission for Clean Ganga,Interception & Diversion with Rehabilitation of sewerage scheme at Agra under Hybrid annuity based PPP model-Namami Gange Programme,842,80,842,31/12/2026
Logistics Infrastructure,NHIDCL,Integrated Multi Modal Logistics Hub at Nangal Chaudhary in Haryana - Other Trunk Infrastructure Development Phase 1,763,60,763,15/05/2028
Railways,National High Speed Rail Corporation (NHSRC),Mumbai-Ahmedabad High Speed Rail Project- 508 km,108000,60,108000,31/12/2029
Urban Public Transport,Chennai Metro Rail Limited (CMRL),Chennai Metro Rail Phase-II Development Project,63246,53,63246,31/08/2029
Telecommunication,Department of Telecommunications (DoT),BharatNet,61109,82,188000,31/03/2027
Oil & Gas,Ministry of Petroleum & Natural Gas,Ethylene Cracker Project at Bina Refinery including downstream Petrochemical Plants and expansion of Refinery,43367,26,43367,31/05/2028
Energy Storage,Ministry of Petroleum & Natural Gas,Rajasthan Refinery Project,43129,92,79459,30/06/2026
Real Estate,National Buildings Construction Corporation (NBCC),Redevelopment of Seven General Pool Residential Accommodation (GPRA) Colonies in Delhi,32850,47,32841,31/12/2025
Electricity Generation,National Hydroelectric Power Corporation Limited (NHPC),Dibang Multipurpose Project,31876,17,31876,26/02/2032
Coal,Northern Coalfields Limited (NCL),JAYANT EXPN. [20 TO 38 MTPA],25560,1,25560,31/03/2032
Transmission & Distribution,Adani Transmission Limited,RAJASTHAN PART I POWER TRANSMISSION LIMITED,25000,2,25000,20/07/2029
Water Resources,Department of Water Resources River Development & Ganga Rejuvenation,Ken-Betwa Linking Development Project,21030,0,21030,31/03/2029
Roads & Highways,NHIDCL,Construction of Connecting Road from Z-Morh Tunnel to Zojila Tunnel and Zojila Tunnel across Zojila Pass,6809,66,6809,28/02/2028
Shipping,Reliance Industries Ltd,Rewas Port Project,6000,88,6000,31/03/2023
Inland Waterways,Inland Waterways Authority of India (IWAI),Jal Marg Vikas Project,5369,81,5061,31/12/2025
Healthcare,PMSSY and Institute of National Importance,Redevelopment of Residential colonies at Ayur Vigyan Nagar and West Ansari Nagar campuses of AIIMS New Delhi,4441,61,4441,02/06/2027
Metals & Mining,National Aluminium Company Limited (NALCO),Expansion of Alumina Refinery Plant with addition of 5th Stream,4103,94,5677,30/06/2026
Steel,National Mineral Development Corporation Limited (NMDC),NMDC Slurry Pipeline Project Phase-1,2907,94,5427,31/05/2026
Aviation & Aviation Infrastructure,Airport Authority of India (AAI),Development of Lal Bahadur Shastri International Airport Varanasi including New Terminal Building and allied works,2870,27,2870,20/07/2027
